Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
21-Apr-22,8635.45,8702.55,8611.8,8689.9,0.63%,19893529,1938.16
22-Apr-22,8663.85,8663.85,8504.5,8534.05,-1.5%,20877706,1808.85
25-Apr-22,8448.5,8490.8,8338.05,8360.65,-1.04%,16556405,1449.3
26-Apr-22,8420.85,8490,8408.25,8441.75,0.25%,19122249,1713.05
27-Apr-22,8394.25,8434.5,8317.95,8376.25,-0.21%,14708674,1547.29
28-Apr-22,8453,8486.85,8382.75,8435.95,-0.2%,21002717,2149.97
29-Apr-22,8452.9,8615.4,8392.1,8411.8,-0.49%,21665418,2088.04
02-May-22,8369.8,8395.2,8306.85,8370.45,0.01%,16741959,1561.76
04-May-22,8373.45,8401.75,8094.75,8116.05,-3.07%,18190827,2194.34
05-May-22,8163.5,8212.5,8023.6,8047.65,-1.42%,15419347,1806.83
06-May-22,7944.2,7963.75,7867.55,7922.05,-0.28%,13709849,1617.7
09-May-22,7865,7936.65,7825.65,7890.75,0.33%,13235765,1270.39
10-May-22,7871.95,7938.3,7755.05,7779.3,-1.18%,17552564,1791.29
11-May-22,7745.25,7805.9,7666.35,7757.95,0.16%,23109485,2038.07
12-May-22,7725.45,7731,7592.25,7667.45,-0.75%,16215582,1652.83
13-May-22,7738.45,7860.5,7731.45,7758.3,0.26%,16369041,1845.02
16-May-22,7761.55,7791.85,7708.25,7750.1,-0.15%,13913255,1407.54
17-May-22,7766.6,7860,7716.45,7851.3,1.09%,16085779,1712.77
18-May-22,7854.25,7939.25,7850.5,7898.75,0.57%,30185468,2628.14
19-May-22,7740.3,7813.65,7700.35,7715.65,-0.32%,25619877,2710.96
20-May-22,7795.25,8008.7,7782.65,7994.35,2.55%,35393870,3331.61
23-May-22,8024,8118.95,7887.5,7909.25,-1.43%,22144713,2654.18
24-May-22,7926.85,7935.1,7773.95,7787.4,-1.76%,25734601,3869.38
25-May-22,7818.35,7851.7,7672.85,7681.15,-1.75%,19053888,2287.81
26-May-22,7692.6,7740.55,7571.55,7714.75,0.29%,27897464,3944.13
27-May-22,7765.5,7831.35,7718,7823.2,0.74%,20283925,2548.5
30-May-22,7862.15,7918.9,7821.55,7830.7,-0.4%,20833493,2191.9
02-Jan-23,8017.4,8018.05,7921.8,7967.5,-0.62%,11208321,1018.2
03-Jan-23,7964.3,8044.35,7940.6,8033.5,0.87%,13498437,1288.02
04-Jan-23,8042.45,8068.15,7996.7,8015.15,-0.34%,11342315,1230.95
05-Jan-23,8041.45,8100.8,8021,8091.9,0.63%,12152944,1227.2
06-Jan-23,8092.2,8127.75,8009.8,8026.9,-0.81%,14045916,1168.5
09-Jan-23,8076.4,8139.25,8055.4,8101.6,0.31%,14188521,1324.26
10-Jan-23,8103.85,8141.4,8094.55,8112.2,0.1%,13564043,1296.22
