Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
10-Mar-22,7451.15,7493.65,7390,7479.95,0.39%,157312391,4981.55
11-Mar-22,7455.45,7550.55,7448.05,7542.05,1.16%,94338544,3265.47
14-Mar-22,7526.5,7546.95,7446.8,7502.35,-0.32%,92306874,3046.75
15-Mar-22,7495.4,7500.8,7280.9,7313.4,-2.43%,108798539,3801.68
16-Mar-22,7375.7,7473.7,7349.2,7461.65,1.17%,79740892,2786.23
17-Mar-22,7517.1,7622.35,7478.95,7604.5,1.16%,165191309,5507.74
21-Mar-22,7574.15,7624.15,7539.25,7555.85,-0.24%,91946673,3130.96
22-Mar-22,7603.75,7706.7,7592.7,7697.35,1.23%,116812777,4705.41
23-Mar-22,7723.1,7775.05,7707,7730.1,0.09%,86113547,3573.73
24-Mar-22,7726.55,7829.75,7700.05,7817.4,1.18%,71335430,2948.98
25-Mar-22,7851.9,7894.2,7815.85,7829.6,-0.28%,56316811,2751.43
28-Mar-22,7882.45,7953.5,7822.6,7900,0.22%,82111795,2778.58
29-Mar-22,7943.8,7943.8,7835.9,7882.7,-0.77%,59629537,2289.03
30-Mar-22,7872.5,7920.05,7825.6,7853.65,-0.24%,251278780,5848.6
31-Mar-22,7849.8,7943.55,7838.95,7866.25,0.21%,113261036,3662.75
01-Apr-22,7896.6,8072.55,7884.7,8047.85,1.92%,85243654,2645.75
04-Apr-22,8069.3,8158.15,8057.1,8150.05,1%,67645033,2477.72
05-Apr-22,8169.6,8218.25,8137.75,8193.95,0.3%,66065678,2924.74
06-Apr-22,8152.6,8277.95,8151.3,8266.35,1.4%,69018311,3125.6
07-Apr-22,8222,8289,8070.1,8081.15,-1.71%,83729027,3485.75
08-Apr-22,8110.75,8223.5,8108.75,8209.8,1.22%,59674762,3015.43
11-Apr-22,8226.3,8371.4,8219.15,8361.9,1.65%,55626497,2317.11
12-Apr-22,8353,8378.25,8132.4,8163.65,-2.27%,73100440,3066.44
13-Apr-22,8228.25,8261.55,8185.65,8223.25,-0.06%,71201773,2695.93
18-Apr-22,8198.25,8226.7,8139.05,8198.7,0.01%,76106700,2699.81
19-Apr-22,8263.95,8420.45,8209.8,8260.25,-0.04%,109425618,5309.64
20-Apr-22,8323.2,8440.6,8305.4,8420.6,1.17%,87803693,4818.47
21-Apr-22,8487.25,8524.1,8433.55,8488.25,0.01%,75897736,4221.12
22-Apr-22,8438.05,8490.45,8396.15,8420.45,-0.21%,51582360,2937.55
25-Apr-22,8350.15,8359.05,8185.65,8216.6,-1.6%,75421501,3680.63
26-Apr-22,8296.75,8396.1,8256.15,8370.45,0.89%,65579987,2890.47
27-Apr-22,8333,8378.15,8249.45,8285.45,-0.57%,64012383,3722.26
28-Apr-22,8389,8422.5,8336.55,8386.1,-0.03%,67022998,4572.83
29-Apr-22,8455.15,8455.25,8153.85,8194.9,-3.08%,74441419,4040.83
02-May-22,8140.8,8222.7,8122.6,8187.55,0.57%,57843181,2384.26
04-May-22,8194.9,8246.65,8069.8,8111.5,-1.02%,65340473,3606.4
