Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
19-May-16,11315.6,11334.05,11230.35,11246,-0.62%,11441011,1280.28
20-May-16,11255.55,11255.55,11057.8,11070.65,-1.64%,12224093,1337.34
23-May-16,11109.55,11113.35,10933.1,10958.5,-1.36%,9865252,944.67
24-May-16,10961.65,10986.4,10819.9,10851.15,-1.01%,11056086,983.78
25-May-16,10880.65,10933.55,10822.6,10908.55,0.26%,20671731,1237.9
26-May-16,10928.1,10948.75,10841.05,10882.2,-0.42%,11068545,895.04
27-May-16,10981.1,11247.5,10973.25,11206.8,2.06%,12929230,1211.87
30-May-16,11284,11318.15,11140.65,11175,-0.97%,10665500,986.82
02-Jan-17,10301.85,10364.6,10245.4,10310.2,0.08%,7598290,579.5
03-Jan-17,10350.15,10382.55,10280,10317.45,-0.32%,7819750,611.29
04-Jan-17,10355.7,10392.6,10291.45,10303.8,-0.5%,10188218,822.27
05-Jan-17,10369.8,10464.7,10342.6,10457.75,0.85%,10315770,828.43
06-Jan-17,10503.4,10559.55,10455.3,10472.7,-0.29%,9956357,811.61
09-Jan-17,10507.15,10525.7,10307.45,10323.45,-1.75%,14036948,1059.85
10-Jan-17,10355.45,10380.3,10321.55,10366.7,0.11%,9907000,784.42
11-Jan-17,10406.45,10475.2,10397.3,10464.65,0.56%,8251033,688.9
12-Jan-17,10277.35,10419.15,10230.1,10401.75,1.21%,14032167,1091.75
13-Jan-17,10421,10488.7,10363.05,10445.1,0.23%,10395610,772.64
16-Jan-17,10432.1,10480.2,10403.85,10418.2,-0.13%,5816287,464.31
17-Jan-17,10420.55,10475.75,10408.9,10426.65,0.06%,7738985,580.84
18-Jan-17,10426.95,10502.9,10413.8,10452.45,0.24%,10114095,812.04
19-Jan-17,10452.95,10497.25,10368.6,10389.75,-0.6%,11064516,716.08
20-Jan-17,10385.75,10434.05,10281.8,10307.85,-0.75%,10180411,769.04
23-Jan-17,10268.9,10307.65,10195.45,10214.15,-0.53%,10466823,819.62
24-Jan-17,10229.05,10359.9,10227.95,10339.45,1.08%,8848746,670.46
25-Jan-17,10373,10383.25,10315.8,10332.6,-0.39%,10633541,839.58
27-Jan-17,10331.4,10402.75,10327.35,10367.2,0.35%,9535604,747.46
30-Jan-17,10367.05,10469.45,10356.65,10412.15,0.44%,8492699,645.83
31-Jan-17,10439.2,10446.2,10218.05,10236.35,-1.94%,10741503,675.47
01-Feb-17,10222.85,10274.55,10065.65,10189.5,-0.33%,10663028,800.38
02-Feb-17,10209.35,10434.5,10128.3,10402,1.89%,16703077,1320.98
03-Feb-17,10473.95,10576.15,10417.85,10555,0.77%,14926328,1178.45
06-Feb-17,10630.05,10774.65,10510.8,10710.8,0.76%,23476529,1978.75
07-Feb-17,10722.4,10806.8,10570.9,10604,-1.1%,10740701,879.07
08-Feb-17,10623.4,10663.6,10523.55,10583.4,-0.38%,9680634,807.18
09-Feb-17,10638.75,10659,10521.7,10542.6,-0.9%,17382530,1511.08
10-Feb-17,10572.95,10595.6,10417.6,10438.1,-1.28%,11562441,962.72
13-Feb-17,10465.9,10485.45,10341.65,10403.6,-0.6%,8651219,681.99
14-Feb-17,10435.55,10440.1,10269.1,10322.25,-1.09%,9605318,767.85
15-Feb-17,10334.2,10341.2,10124.75,10137.65,-1.9%,17812934,1281.61
16-Feb-17,10157.5,10436.85,10105.5,10407.75,2.46%,24394827,1801.19
17-Feb-17,10485.55,10646.1,10431.8,10624.4,1.32%,27186508,1863.99
20-Feb-17,10646.95,10685.1,10574.2,10641.6,-0.05%,13569559,1177.57
21-Feb-17,10645.85,10684.85,10607.2,10644.6,-0.01%,14139985,1368.12
22-Feb-17,10657.85,10671.05,10529.95,10582.3,-0.71%,9870952,901.35
23-Feb-17,10605.05,10644.75,10535.45,10561.6,-0.41%,16741826,1360.9
27-Feb-17,10576.65,10646.65,10534.9,10571.7,-0.05%,12949236,1072.37
28-Feb-17,10595.35,10641.8,10573.05,10585.15,-0.1%,9531929,872.56
01-Mar-17,10619.85,10759,10609.75,10700.8,0.76%,12972753,1209.78
02-Mar-17,10743.75,10754.8,10512.55,10541.1,-1.89%,14201015,1126.7
03-Mar-17,10530.15,10634.95,10513,10614.05,0.8%,6881655,566.44
06-Mar-17,10623.65,10633.65,10568.25,10612.85,-0.1%,7684501,605.1
07-Mar-17,10632.75,10634.5,10530.2,10560.9,-0.68%,7832982,658.16
08-Mar-17,10558.75,10656.5,10520.95,10584.35,0.24%,12912566,1033.3
09-Mar-17,10538.3,10567.3,10481.2,10499.05,-0.37%,10105601,1204.24
10-Mar-17,10490.45,10549.4,10444.35,10468.35,-0.21%,7862336,671.49
14-Mar-17,10602.95,10752.6,10468.85,10648.05,0.43%,17619221,1379.7
15-Mar-17,10694.15,10729.55,10656.35,10671.05,-0.22%,9806002,760.45
16-Mar-17,10724.25,10775.2,10698.45,10731.2,0.06%,10228535,848.59
