Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
20-Jan-21,26147.2,26758.1,26142.95,26619.7,1.81%,54117134,6173.06
21-Jan-21,26808.5,26872.95,26321.8,26450.15,-1.34%,41366484,4783.46
22-Jan-21,26316.55,26667.55,26292.8,26489.75,0.66%,36897218,4679.86
25-Jan-21,26607.65,26685.8,25911.8,26023.3,-2.2%,29150368,3798.9
27-Jan-21,26073.1,26236.55,25628.7,25865.3,-0.8%,58662059,5924.81
28-Jan-21,25639.9,25807.65,25239.7,25301.25,-1.32%,36644329,4119.2
29-Jan-21,25516.8,25539.85,24559.65,24645.75,-3.41%,49103602,6103.56
01-Feb-21,24709.25,25139.15,24308.9,24922.7,0.86%,45600862,5274.31
02-Feb-21,25277.45,25574.75,25107.2,25447.8,0.67%,38519659,4485.85
03-Feb-21,25590.05,25949.7,25341.4,25680.9,0.36%,35527910,4303.03
04-Feb-21,25749.7,25862.5,25505.25,25570.05,-0.7%,24592164,2891.04
05-Feb-21,25689.7,25733.5,25188.4,25331.6,-1.39%,26422594,3130.85
08-Feb-21,25588.5,26028,25415.95,25915.6,1.28%,34877611,4123.31
09-Feb-21,25933.8,26301.2,25659.9,25779.15,-0.6%,52454589,4762.58
10-Feb-21,25779.9,25941.05,25570.2,25885.3,0.41%,28434550,3383.28
11-Feb-21,25860.85,26080.15,25795.85,26043.45,0.71%,23498725,2871.98
12-Feb-21,26111.8,26455.05,26012.25,26093.8,-0.07%,43820995,4555.66
15-Feb-21,26243.1,26279.3,25959.1,26001.1,-0.92%,23623028,3111.8
16-Feb-21,26130.4,26167.85,25519.95,25613.95,-1.98%,32987890,4410.27
17-Feb-21,25610.4,25672.25,25234.7,25282.95,-1.28%,24272603,3662.46
18-Feb-21,25270.95,25686.85,25262.65,25618.55,1.38%,34277793,5011.73
19-Feb-21,25634.95,25676,25292.65,25503.2,-0.51%,29205317,3797.12
22-Feb-21,25579.75,25617.35,24646.45,24766.45,-3.18%,36356027,4639.88
