Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
25-Mar-21,34024.25,34044.4,33071.7,33213.15,-2.38%,59071629,3087.08
26-Mar-21,33495.75,33887.35,33444.15,33818.45,0.96%,41638163,2346.95
30-Mar-21,34023.35,34628.15,33981.25,34578.85,1.63%,62241247,4013.04
31-Mar-21,34538.55,34980.15,34448.3,34931.7,1.14%,51953080,2839.71
01-Apr-21,35081.1,35102.7,34754.85,34874.55,-0.59%,40133110,2006.84
05-Apr-21,34800.55,34892.6,34024.15,34304.55,-1.43%,47978583,2728.17
06-Apr-21,34439.55,34697.1,34221.1,34619.85,0.52%,46243473,2938.56
07-Apr-21,34682.15,35050.45,34613.2,34835.3,0.44%,32763925,2495.98
08-Apr-21,34899.5,35105.65,34869.15,34983.05,0.24%,28578740,2133.44
09-Apr-21,35064.7,35442.85,34999.4,35253.1,0.54%,30466835,2145.05
12-Apr-21,34865.1,34979.9,34472.9,34561.35,-0.87%,52686100,2903.14
13-Apr-21,34698.95,35045.45,34591.1,34720.35,0.06%,36246183,2227.42
15-Apr-21,34972.5,35046.75,34349.65,34658.6,-0.9%,36226912,2624.85
16-Apr-21,34816.9,34957.15,34699,34853.15,0.1%,29154086,1847.32
19-Apr-21,34463.45,34623.95,34218.1,34519,0.16%,28156292,1817.74
20-Apr-21,34772.05,34772.05,34087.1,34296.5,-1.37%,41427833,2453.56
22-Apr-21,34212.2,34222.8,33894.05,34043.05,-0.49%,37705000,2324.04
23-Apr-21,33938.1,34002.85,33631.7,33726.1,-0.62%,32389044,1982.03
26-Apr-21,33874.75,33952.6,33726.05,33865.7,-0.03%,33345995,2309.48
27-Apr-21,33949.9,34037.2,33888.35,34009.35,0.18%,24362807,1822.52
28-Apr-21,34060.45,34398.5,33999.85,34129.15,0.2%,28700432,2350.98
29-Apr-21,34400.7,34455,33944.9,34009,-1.14%,28002196,2277.97
30-Apr-21,33970.25,34098.9,33544.85,33623.45,-1.02%,35650551,2571.54
03-May-21,33515.65,34072.7,33505.2,33994.2,1.43%,53604116,2843.95
04-May-21,34074.25,34166.9,33691.7,33822.75,-0.74%,41272606,2405.53
05-May-21,34073.95,34073.95,33663.45,33898,-0.52%,28880906,1638.38
06-May-21,34003.85,34233.55,33897.7,34048.5,0.13%,32950357,1920.45
07-May-21,34153.5,34221.6,34049.85,34123.5,-0.09%,51167740,2743.05
10-May-21,34273.95,34332.1,34067.45,34204.25,-0.2%,34144556,2014.81
11-May-21,34066.5,34299.35,34010.95,34129.3,0.18%,32337633,1993.1
12-May-21,34197.25,34258.65,33988.45,34057.4,-0.41%,60478779,4306.94
14-May-21,34158.2,34835,34094.4,34781.5,1.82%,84249755,3611.75
17-May-21,35050.6,35097.55,34755.2,34807.4,-0.69%,53305009,2543.26
18-May-21,35083.9,35125.6,34655.95,34741.45,-0.98%,47819412,2613.83
19-May-21,34704.2,34844.55,34635.15,34729.7,0.07%,41697743,2491.91
20-May-21,34752.55,34779.35,34446.05,34475.6,-0.8%,37535203,2233.68
21-May-21,34556.6,34727.05,34522.7,34690.55,0.39%,35783908,1983.67
24-May-21,34722.5,34748.7,34487.55,34572.5,-0.43%,50724956,2903.58
25-May-21,34794.35,34992.3,34704.15,34780.85,-0.04%,46134588,2943.23
26-May-21,34929.1,34982.45,34782.8,34815.7,-0.32%,30474660,1775.44
27-May-21,34878.6,34957.75,34741.8,34812.3,-0.19%,83176800,4500.21
28-May-21,34947.85,35084.2,34870.55,34890.5,-0.16%,39434545,2045.09
31-May-21,35022.5,35296.8,34983.65,35243.1,0.63%,88839983,3186.1
03-Jan-22,37673.25,37725.5,37559.75,37606.05,-0.18%,13925408,931.83
04-Jan-22,37687.6,37842.65,37477.75,37800.35,0.3%,21234860,1505.02
05-Jan-22,37798.7,37941.4,37690.7,37910.95,0.3%,20565249,1369.8
06-Jan-22,37704.25,37786.25,37427.95,37622.5,-0.22%,19829751,1505.56
07-Jan-22,37649.2,37909.1,37644.7,37864.45,0.57%,17494097,1289.27
10-Jan-22,38012.2,38174.6,37904.85,37984.05,-0.07%,22839398,1226.13
11-Jan-22,38039.9,38111.35,37781.65,37849.9,-0.5%,16746639,1258.12
12-Jan-22,37976.85,38026.55,37821.2,37992.95,0.04%,24492687,1624.62
13-Jan-22,38092.3,38141.05,37922.35,38087.25,-0.01%,23495230,1615.49
14-Jan-22,38080,38124.4,37784,37816,-0.69%,27720033,2010.65
17-Jan-22,37850.15,38092.15,37633.15,37988.9,0.37%,22262508,1422.34
18-Jan-22,38085.35,38218.15,37439.55,37503.15,-1.53%,26936850,1738.78
19-Jan-22,37491.7,37508.9,37036.65,37106.4,-1.03%,22746815,1672.57
