Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
25-Mar-20,166.5,176.4,165.35,175.1,5.17%,17108422,242.46
26-Mar-20,177.75,189.7,173,185.8,4.53%,22629440,298.68
27-Mar-20,191.9,199.45,181.65,185.05,-3.57%,19297142,280.01
30-Mar-20,181.25,182.2,170.05,171.6,-5.32%,13368687,181.28
31-Mar-20,177.35,178.35,171.9,175.5,-1.04%,12741227,181.07
01-Apr-20,175.55,177.6,170.85,172.1,-1.97%,9163479,137.79
03-Apr-20,173.4,175.4,168.8,172.05,-0.78%,10531108,159.29
07-Apr-20,178.05,183.95,177.1,183,2.78%,12343063,251.38
08-Apr-20,180.35,188.55,178.85,180.5,0.08%,15604004,220.75
09-Apr-20,183.55,187.05,179.95,185.75,1.2%,11181179,190.81
13-Apr-20,186.6,186.7,173.9,176.7,-5.31%,17201639,273.95
15-Apr-20,177.6,182.95,177,179.95,1.32%,14796420,275.42
16-Apr-20,179.05,184.55,178.6,181.3,1.26%,17672261,296.08
17-Apr-20,188.95,192.5,186.9,187.8,-0.61%,35363279,553.41
20-Apr-20,189.9,192.15,187.8,188.9,-0.53%,23590488,395.36
21-Apr-20,186.2,186.45,182.3,185.45,-0.4%,18392666,258.4
22-Apr-20,186.05,186.7,181.8,184.05,-1.07%,15366269,232.75
23-Apr-20,185.8,189.4,183.7,185.45,-0.19%,15325363,249.46
24-Apr-20,182.75,183.2,177,177.7,-2.76%,17345096,244.02
27-Apr-20,180.4,182.5,178.45,180.1,-0.17%,12232963,203.11
28-Apr-20,182.25,182.6,179.75,181.5,-0.41%,14295543,200.2
29-Apr-20,182.85,184.7,182.45,183.15,0.16%,14508844,218.98
30-Apr-20,185.65,191.75,185.05,187.3,0.89%,18725387,327.69
04-May-20,181.45,182.2,173.9,174.3,-3.94%,10167821,183.7
05-May-20,177.1,177.25,169,169.3,-4.4%,11854952,192.71
06-May-20,169.7,171.8,168.6,171,0.77%,12089690,210.15
07-May-20,171.2,173.55,170.15,170.65,-0.32%,9836484,159.58
08-May-20,173.55,173.7,168.65,169.55,-2.3%,11110860,168.61
11-May-20,173.15,173.85,170.7,171.1,-1.18%,11024816,218.76
12-May-20,169.9,173.1,167.3,172.45,1.5%,10714377,174.79
13-May-20,180.15,180.7,175.65,178.4,-0.97%,15964409,312.68
14-May-20,178.6,178.6,173.2,175.2,-1.9%,12407814,206.56
15-May-20,177.35,177.45,171.75,172.5,-2.73%,12611623,195.95
18-May-20,172.2,172.6,162.6,163.3,-5.17%,11094332,202.23
19-May-20,165.35,165.85,160.85,162.15,-1.94%,10690904,189.67
20-May-20,162.25,166.65,162.2,165.75,2.16%,15500155,248.01
21-May-20,166.5,168.45,164.55,165.5,-0.6%,9642283,183.58
22-May-20,165.6,167,161.55,163.55,-1.24%,13255695,166.1
26-May-20,164.7,165.9,163.9,165.5,0.49%,7243099,107.47
27-May-20,166.4,168.9,164.4,168.4,1.2%,10568849,203.99
28-May-20,169.05,173.45,168.95,172.7,2.16%,18948482,266.7
01-Jan-21,313.9,317.3,312.9,316.4,0.8%,18692827,444.99
04-Jan-21,317.7,318.65,311.4,317.45,-0.08%,25818252,653.49
05-Jan-21,315.5,319.25,313.95,316.35,0.27%,26199219,665.6
06-Jan-21,317.15,321.6,312.65,318.6,0.46%,23386214,720.51
07-Jan-21,327.85,329.95,320.4,322.9,-1.51%,75517711,1457.26
08-Jan-21,325.55,332.7,324.25,327.5,0.6%,42557942,972.62
11-Jan-21,329.85,331.65,325.75,329.55,-0.09%,25228031,661.78
12-Jan-21,328.95,344.15,327.75,338.65,2.95%,71282606,1927.16
13-Jan-21,341.3,346.5,333.75,337.6,-1.08%,66216443,1843.74
14-Jan-21,338.3,341.6,334.75,337.4,-0.27%,25876458,726.28
15-Jan-21,338,340.2,329.5,331.25,-2%,27731520,783.29
18-Jan-21,330.2,331.3,316.9,324.55,-1.71%,22887551,695.19
19-Jan-21,327.35,341.85,327.05,338.15,3.3%,73294882,1822.05
20-Jan-21,339.4,340.5,336.9,338.4,-0.29%,26574931,708.06
21-Jan-21,340.9,341.8,328.45,329.75,-3.27%,24006331,702.89
22-Jan-21,330.25,331.8,319.4,320.4,-2.98%,33386701,865.23
25-Jan-21,326.7,329.2,313.95,317.9,-2.69%,26434357,734.08
27-Jan-21,318.95,318.95,309.55,311,-2.49%,25991361,671.01
28-Jan-21,305.6,311.5,301.05,304.15,-0.47%,25172531,696.82
29-Jan-21,308.65,311.7,304.35,305.65,-0.97%,21799500,596.75
01-Feb-21,308.1,328.5,304.7,324.95,5.47%,46479791,1233.33
02-Feb-21,328.5,339.25,325.2,337.25,2.66%,37424583,1077.81
03-Feb-21,340.45,341.35,334.3,335.8,-1.37%,32988443,1010.08
04-Feb-21,334.7,346.85,333.5,339,1.28%,55683470,1776.89
